1,Freeman,quisque porta volutpat erat quisque erat eros viverra eget congue eget,MUEBLES,DEFECTUOSO,false,73.32,78978978R
2,Burch,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,MUEBLES,MUY_USADO,true,47.96,36925814P
3,Nerta,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et,INFORMATICA,DEFECTUOSO,true,98.16,83726194S
4,Sheba,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,BICICLETAS,PERFECTO,false,86.73,12345678Z
5,Elita,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,BICICLETAS,POCO_USO,false,17.61,44556677E
6,Axel,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,ROPA,MALO,true,62.25,45645645N
7,Syd,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,INFORMATICA,MUY_USADO,false,78.28,85296374Y
8,Corbett,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,TELEFONIA,DEFECTUOSO,false,50.24,56473829D
9,Ellette,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,TELEFONIA,DEFECTUOSO,false,93.15,78978978R
10,Currie,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,BICICLETAS,MALO,false,28.62,83726194S
11,Prent,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,BICICLETAS,BUENO,true,46.13,45645645N
12,Catie,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,INFORMATICA,PERFECTO,false,63.9,29384756G
13,Rhona,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,INMUEBLES,DEFECTUOSO,true,47.7,38475629J
14,Lil,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,COCHES,DEFECTUOSO,false,79.62,36925814P
