1,2024-11-29,2024-11-20,RESUELTO,1,12,20,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci
2,2024-10-24,2024-12-19,ABIERTO,1,19,9,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
3,2024-07-06,2024-10-13,ENPROCESO,3,4,15,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
4,2024-05-28,2025-01-23,ABIERTO,3,21,21,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
5,2025-03-30,2024-07-20,RESUELTO,1,12,10,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
6,2024-06-22,2024-12-28,ABIERTO,1,1,5,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
7,2024-08-19,2024-08-15,RESUELTO,2,27,14,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
8,2024-08-08,2024-08-25,ENPROCESO,3,3,4,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
9,2025-04-13,2024-10-06,RESUELTO,1,8,25,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut
10,2025-02-02,2024-12-06,ENPROCESO,1,27,18,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
11,2025-04-07,2025-05-12,RESUELTO,1,30,27,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a
12,2024-06-10,2025-03-30,ABIERTO,1,2,29,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
13,2025-01-11,2025-03-21,ENPROCESO,2,11,18,sodales sed tincidunt eu felis fusce posuere felis sed lacus
14,2024-10-07,2024-10-05,ENPROCESO,1,19,21,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
15,2025-04-08,2025-04-27,RESUELTO,2,3,15,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin
16,2025-03-05,2024-12-16,ABIERTO,1,5,17,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
17,2024-06-06,2024-06-18,ABIERTO,2,4,14,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
18,2024-11-28,2025-02-04,ABIERTO,1,11,6,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
19,2024-12-08,2024-05-29,ENPROCESO,1,22,16,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
20,2025-04-17,2024-06-15,ENPROCESO,1,1,3,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
21,2025-04-08,2024-05-25,ABIERTO,2,25,14,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
22,2024-12-05,2024-07-03,ABIERTO,3,4,15,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio
23,2024-08-25,2024-05-18,ENPROCESO,3,19,17,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
24,2025-02-28,2025-04-08,RESUELTO,3,26,27,fusce consequat nulla nisl nunc nisl duis bibendum felis sed
25,2025-02-13,2024-12-10,RESUELTO,3,9,6,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
26,2024-10-18,2025-03-01,ENPROCESO,2,4,3,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
27,2024-12-31,2024-08-19,ABIERTO,3,5,29,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
28,2024-07-03,2024-10-12,ENPROCESO,3,18,20,neque libero convallis eget eleifend luctus ultricies eu nibh quisque
29,2025-05-08,2024-06-28,RESUELTO,1,27,29,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi
30,2024-09-04,2024-07-16,RESUELTO,2,29,1,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
31,2024-09-09,2024-06-25,ABIERTO,2,10,26,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla
32,2025-03-29,2024-08-23,ABIERTO,3,13,18,libero convallis eget eleifend luctus ultricies eu nibh quisque id
33,2024-06-11,2025-04-15,RESUELTO,3,5,30,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie
34,2025-05-09,2025-01-06,ENPROCESO,3,18,17,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
35,2024-07-10,2025-01-14,ABIERTO,3,14,30,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
36,2024-11-27,2024-11-18,RESUELTO,1,16,24,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
37,2024-09-06,2025-02-27,RESUELTO,2,13,3,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper
38,2024-11-14,2025-01-17,ENPROCESO,3,18,28,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
39,2025-02-13,2024-06-10,ABIERTO,3,3,6,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
40,2024-11-22,2024-06-28,RESUELTO,3,19,14,in eleifend quam a odio in hac habitasse platea dictumst
41,2024-09-07,2024-09-24,ENPROCESO,2,2,29,ac diam cras pellentesque volutpat dui maecenas tristique est et
42,2024-12-07,2024-06-27,ENPROCESO,1,19,24,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
43,2025-01-21,2024-11-06,RESUELTO,3,24,10,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
44,2024-12-01,2024-06-17,ABIERTO,1,20,18,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
45,2025-04-07,2024-10-13,ENPROCESO,3,6,19,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum
46,2025-03-21,2025-01-05,ENPROCESO,2,5,2,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
47,2024-12-28,2024-11-01,ENPROCESO,3,2,28,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
48,2024-07-19,2025-01-23,ABIERTO,3,28,25,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
49,2024-08-27,2024-07-05,ENPROCESO,3,30,10,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
50,2024-11-21,2025-05-06,ABIERTO,2,19,21,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
